,Monthly Charge,Total Charges,Churn Label,Gender_Female,Gender_Male,Senior Citizen_No,Senior Citizen_Yes,Married_No,Married_Yes,Dependents_No,Dependents_Yes,Phone Service_No,Phone Service_Yes,Multiple Lines_No,Multiple Lines_Yes,Internet Service_No,Internet Service_Yes,Online Security_No,Online Security_Yes,Online Backup_No,Online Backup_Yes,Device Protection Plan_No,Device Protection Plan_Yes,Premium Tech Support_No,Premium Tech Support_Yes,Streaming TV_No,Streaming TV_Yes,Streaming Movies_No,Streaming Movies_Yes,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Paperless Billing_No,Paperless Billing_Yes,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,Tenure_group_1 - 12,Tenure_group_13 - 12,Tenure_group_25 - 12,Tenure_group_37 - 12,Tenure_group_49 - 12,Tenure_group_61 - 12
0,39.65,39.65,1,False,True,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False
1,80.65,633.3,1,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False
2,95.45,1752.55,1,False,True,False,True,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False
3,98.5,2514.5,1,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False
4,76.5,2868.15,1,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False
5,78.05,2135.5,1,True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False
6,70.45,70.45,1,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False
7,45.3,2651.2,1,False,True,False,True,False,True,True,False,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False
8,74.45,1145.7,1,True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False
9,76.45,503.6,1,True,False,False,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False
10,95.0,1120.3,1,True,False,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False
11,74.4,1074.3,1,False,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False
12,40.2,40.2,1,False,True,False,True,False,True,True,False,True,False,True,False,False,True,True,False,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False
13,41.15,132.2,1,False,True,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False
14,106.9,1364.3,1,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False
15,94.45,1511.2,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False
16,74.5,606.55,1,False,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
17,76.1,1712.7,1,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False
18,95.45,396.1,1,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False
19,74.9,2303.35,1,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False
20,93.15,2231.05,1,False,True,False,True,False,True,True,False,False,True,True,False,False,True,True,False,True,False,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False
21,82.45,4350.1,1,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False
22,70.35,139.05,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
23,41.9,840.1,1,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False
24,30.75,805.1,1,False,True,False,True,False,True,True,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
